X,Y,Z,VX,VY,VZ,D,Masa,RHO
7.94849872733322600E-004,-2.17651489398767680E-004,1.78979851872615805E-004,767.30556376920174,300.81547069499271,368.86369073331491,8.43322167619246473E-004,6.61533360516358611E-005,4.12109896025989247E-014
-2.21481508016703639E-003,8.89374244267211912E-005,8.56437239134216321E-005,-235.09414856718442,-848.51296031936999,-261.43815156871989,2.21825394223581487E-003,3.01162027132839542E-004,7.52887015497913263E-015
-1.80710043275533229E-003,-1.14927157963624839E-003,-3.04042972879967099E-004,191.57521258710102,-202.64427427738201,-90.422747671233410,2.16307172030466783E-003,2.15595454685180713E-004,4.38423885177098941E-015
3.34425300562070458E-003,-1.04674040218244229E-003,-2.51148505630375217E-004,1038.3150998962599,1473.7555143124137,646.08252665234750,3.51322774767656460E-003,3.10256416250422008E-004,7.15128801454199589E-015
8.94869243379141886E-004,-8.79100634977413703E-004,2.64128981213730251E-004,1194.0057469110343,977.30650286798527,-48.976532903132380,1.28194110936526748E-003,1.97204594230727156E-004,1.39260686944029859E-015
2.64653006075842240E-003,1.23643618330459312E-003,4.87806005189724814E-004,-766.11585105812992,1568.7574666768260,-169.28695988657043,2.96156217165568971E-003,7.59149928888571427E-005,6.75450863157374164E-016
-1.81038865764509118E-003,-2.26909472749321507E-004,3.41704100673709407E-004,-79.969268716935730,-705.91728055609929,-180.32743671407678,1.85627495080082326E-003,3.91231525765127095E-004,1.02154301209505746E-014
4.17204124450918875E-004,4.28927725907557651E-004,4.11224863999311080E-004,-224.72459368919743,-973.58928105345740,290.36089071534747,7.26046943580329804E-004,1.36460990261848898E-004,2.30892342501520639E-014
5.84087007338651774E-004,1.81961901455933867E-004,2.72523696562539846E-004,490.81280129156386,-277.82329882177277,58.442686630826195,6.69728998111469311E-004,2.09880177385962543E-004,7.45098104028170527E-014
-2.04117332741219400E-003,2.06677158483989463E-003,3.12080938450768600E-004,-1211.0063327556745,-798.26675043302191,-377.46902286940730,2.92152834122568275E-003,2.43480173724400418E-004,7.87095301335857144E-015
-2.95615018970189639E-003,3.36793008365534975E-005,-2.04965812503346383E-004,-383.76063945430832,-927.75409013517913,66.875970110385381,2.96343874977610328E-003,2.14912488389532936E-004,7.62240192118269421E-016
-1.02659400559432777E-003,2.51033697971446543E-004,4.06497663930816976E-004,-345.44190732377928,-736.75894475583948,119.64896233312371,1.13232218057434417E-003,2.89000863213092454E-004,1.00106537935172610E-015
-2.44163968952845105E-003,-1.06183126505243752E-003,-1.92288233054542474E-005,208.19716301076829,-1106.8191939320495,-628.86679699794786,2.66260394286667486E-003,3.13723312314858726E-004,4.73015790597829157E-015
6.70209106762702797E-004,1.18949857403672526E-003,4.81745919564465809E-004,-889.21568804175797,-54.845971016863693,-650.92693851868194,1.44781429590955333E-003,2.84318867717364254E-004,4.22096564347260242E-015
2.76965733785855192E-003,5.26199175919789676E-005,-1.10873373644510738E-004,154.15682722556835,945.60646355881170,-199.17269927961098,2.77237507019963353E-003,4.68681530239333795E-006,4.99549652874628373E-015
6.89088798816702374E-004,-2.46870094899173588E-004,7.48087185955910645E-005,1188.2959320299542,567.76387583723385,-122.84106022026704,7.35788394029212060E-004,2.01195803212863233E-004,2.76500623083929963E-014
-2.16134373681975368E-003,2.74250547600442653E-003,-2.86221496862055429E-004,-1541.6830653694897,-997.13769125086594,318.60579115655656,3.50352191085915709E-003,1.90840826790262971E-004,2.21503697003101915E-015
-1.67512616778509385E-003,-1.70749419142962448E-003,5.02192208431525449E-004,794.45321523318353,-890.74834134255730,199.57714450134452,2.44413197392726999E-003,6.43690472744497423E-005,1.02906985641157430E-015
-1.46264810274782304E-003,2.51573963996620147E-003,1.41814517067510561E-004,-1793.6146797904933,237.71899718400192,-216.63564382823569,2.91348532960441923E-003,3.47113068437825687E-004,2.48356913808547876E-015
4.44435430987932540E-004,1.91391481802687384E-004,1.75065002418198120E-004,-31.861374802162395,-987.64763165164038,404.93521341069265,5.14588482863483315E-004,3.19728979620582447E-005,5.81885047098804484E-014
4.74997123959430617E-004,-1.14484507009780388E-004,5.63766208885961082E-005,622.46134376759505,-899.00890063857469,495.80189852255251,4.91840719641856855E-004,5.07534558772481216E-005,2.97572174891175029E-014
2.02275290382329968E-003,-3.27438757534488038E-003,-4.84654631369388410E-004,1449.1604430433222,84.829832938720585,-366.19066066568411,3.87917947705520736E-003,9.43593600445433557E-005,5.34201603712802871E-015
-2.95293097769662493E-003,1.17929295297728690E-003,1.33851139048166498E-004,-926.72711098353204,-657.43313211520694,-169.68004665080437,3.18252248309524536E-003,3.46651538471362997E-004,3.79450024028950365E-015
-2.88905391941958250E-003,5.41419771856137288E-004,-1.34410404305659083E-006,-453.26200648888755,-802.95932365994361,-208.79777274206319,2.93934852055452618E-003,1.29024281792775356E-004,2.29134761428408633E-015
1.99574014967779422E-003,-3.41958496712725744E-003,-2.48401158869782654E-004,1475.4809387432638,-17.978312787916231,-447.58286029511402,3.96714547605284129E-003,2.94669796022582601E-004,2.45192140734938866E-015
-2.22888839205341235E-003,-1.38387782552779889E-004,1.60494432153003959E-004,-172.84316358668212,-916.94050700637411,66.900813665381776,2.23894017457868574E-003,4.81234164772262479E-005,1.17823229812131840E-014
2.85454836537590417E-003,-8.40197957486373356E-005,4.14768372026765334E-004,82.191288212489269,807.12677326642859,106.72946787376293,2.88574747661357600E-003,1.48620416705222733E-004,3.14586361563929756E-015
-1.83338413087700820E-003,2.61608722956903047E-003,3.14036459320713801E-004,-1291.3640305212452,282.12379039552309,-54.943652986591985,3.20995773521217829E-003,1.08941528631647285E-004,1.18467260468118051E-014
-1.46575497997680423E-003,-2.47879531326029379E-003,1.42219140762730615E-004,1032.8088705380587,-1100.8703563216127,67.309237797677511,2.88324299190465200E-003,1.82592686499228872E-005,3.95496427963353614E-015
-2.23598262507892186E-003,2.06957936220069413E-003,1.37006669769294614E-004,-1257.3929678543527,-387.02888800096406,601.59949506548082,3.04984390808171225E-003,1.56378401851850094E-004,1.09015945898378604E-014
8.01306280094684210E-004,6.96254580963764176E-004,1.51330127534096215E-004,-975.09524157458031,216.81762224575502,279.89014531260824,1.07227002360958190E-003,3.49511971867564177E-004,1.61263461670791192E-014
3.87308303308643012E-003,-2.15575069808174443E-003,4.35337306241852565E-004,956.61495211891474,1433.5574992542959,98.738034757236903,4.45393666587972758E-003,6.57153308182529627E-005,3.51573599037160461E-016
-3.01277822182439287E-003,3.01748422779148670E-004,-2.43237185750568670E-004,-606.64818187287608,-877.87170240566138,38.800641789646150,3.03760580936383385E-003,6.49694225511501529E-006,9.01062373930564600E-016
2.73845801740231877E-003,-1.66652310464067074E-003,-3.77900414772097768E-004,1457.6589677811655,522.54270701490202,-182.86378227982505,3.22788789998369394E-003,1.32662878730601330E-004,1.93324176939916913E-015
8.41911796392064583E-004,1.96847088297370034E-004,1.71700712696963673E-004,-78.456438887524584,802.23632222601088,690.86134433210214,8.81501777545519753E-004,1.32458176627410544E-004,1.85250503164437220E-013
-1.69504412637466956E-003,-1.89188320199476880E-003,4.43269323049065296E-004,793.26528700018548,-1025.5416629749197,-122.50621379030147,2.57854306403899761E-003,3.09965489002160099E-004,1.05624277138512465E-015
-2.05470512152941933E-003,-9.65746858265871180E-005,7.55318473437266029E-005,-679.38823131066863,-803.70221493023439,65.875967145793979,2.05835975143920996E-003,2.35858731822376303E-004,9.13346201456906140E-015
-8.71803194383335913E-004,-2.82564047566790343E-003,-2.70351226902985225E-004,1451.2466376052141,-595.74026251023338,110.51381592415271,2.96940645472418838E-003,2.35510888737928845E-004,1.48964647703582567E-015
9.63414777757134631E-004,1.09677765096704129E-003,4.44804186647171438E-004,-1327.3242664269133,557.41681126301978,59.520058642150076,1.52608650283018424E-003,6.69951137118981788E-005,2.62518728488766232E-015
2.19052001821561527E-003,-3.05639654643824086E-003,-4.54395471538414830E-004,1680.9368721799024,166.66065540254064,255.15774671508558,3.78766590974409512E-003,2.94402212424638187E-004,3.04933703780685161E-015
-9.29465440369118645E-004,-6.96823758944094805E-004,1.79286185445326403E-004,352.11909446327218,28.248166880002632,-265.50751873381068,1.17542030447030893E-003,2.54281049386704497E-004,8.23379345583011202E-016
-1.87750656579111072E-003,3.09394233702483873E-003,-1.40611472105038208E-004,-1906.7939579686247,-287.15689071234925,444.30417743072866,3.62177879991462150E-003,1.17140685587854262E-004,2.83452895783718964E-015
3.57637647302187821E-003,-1.01196753485231598E-003,-2.88199785399704145E-004,645.35887581468944,1021.4644404459909,-335.03381768516169,3.72794931358835921E-003,3.09265798319009559E-004,9.60947049058329346E-015
-1.67174168163248334E-003,-4.05052080587854548E-003,-5.17139565782072895E-004,1516.7633972561930,-377.20497504358411,-11.227008959143129,4.41235451652059046E-003,3.91262315319633518E-005,1.19117317950908570E-016
2.11994860905639123E-003,-2.93665196857253964E-003,-5.59202774850773825E-005,1460.7525662126604,-246.25803548381973,-330.53056157239001,3.62232438732302230E-003,5.83140899716214051E-005,2.38487881851467000E-015
1.20875792139882744E-003,1.98148136283495327E-003,3.75299404698488642E-004,-990.52388485447125,656.93040362158729,118.39047275966790,2.35121537656032657E-003,6.73809429186164458E-005,3.38030157175702934E-015
-1.88310756951274552E-003,-2.33074067482903508E-003,2.10316438258446349E-004,1157.4829523280257,-997.44360480776891,-204.89010593157801,3.00377749107027300E-003,3.89146495761390915E-004,1.03134584792190770E-015
-2.31185480195882694E-003,2.18864427405543677E-003,1.76604405805144579E-004,-967.36954349554856,-273.68560255887058,233.14421915459332,3.18842053371971683E-003,2.67241167716922271E-005,1.66237623480005174E-014
-2.29617375322041452E-004,-2.60468010520325220E-003,-5.39486344087878786E-005,716.61069465470291,-423.14794425252308,-22.604922045770067,2.61533803640102720E-003,2.49138707017441648E-004,2.52254628977259094E-015
-3.10030970212648834E-003,-6.76708365946767494E-006,5.17962132141577658E-007,-413.92785286282862,-1313.5670224352441,-291.69564662268203,3.10031713068286904E-003,2.04714567941641055E-004,9.76789049730741081E-016
2.30193440928332192E-003,-2.28905158005484948E-003,-4.62571865314710673E-004,1254.4058480279984,7.3033183670758577,76.163991463974085,3.27912059726001700E-003,1.37846131669162777E-004,1.35438639236118904E-015
1.41746826969012208E-003,4.18638913503131685E-004,5.82480605098978959E-005,-652.37632220491867,1499.8091864990758,-309.39706657346017,1.47914423638486172E-003,8.54564857093577737E-005,4.15828721249487800E-015
-1.99456527101680168E-003,-5.50540701802189249E-004,3.59398150910060412E-004,233.25895395097513,-843.09793690538152,25.759123663779242,2.10013159482084480E-003,2.57925246235165824E-004,9.46612400771837775E-015
6.64198090060347484E-004,2.09718726231092377E-003,1.33789216692209006E-004,-1030.6191091243820,269.64467847826296,105.83164500888256,2.20391766419304226E-003,2.66825442069228602E-004,3.35964770766325446E-015
-2.90661705822479891E-003,4.40687472006924628E-003,-3.39219102436088562E-004,-1090.5140672502325,-873.58924953142207,-136.44587273569940,5.28999405680255236E-003,9.12567308373788642E-005,9.71830726591506636E-017
8.38111729445976061E-004,1.86618050098974822E-004,1.98405975028919225E-004,-62.020187814943966,839.35548550487306,686.33028383219335,8.81261878549642369E-004,2.04823636502992430E-004,2.03230278844137382E-013
1.95975472944161797E-003,1.81052986435649172E-003,1.49405377279532692E-005,-640.44517191313048,1030.5900374326422,59.539219555156514,2.66812297485762928E-003,1.79457199464140110E-004,1.20544079590009993E-015
8.17300451575100960E-004,-1.96994565846524237E-004,2.38753754854507754E-004,950.45468282787363,461.77333798260088,-168.52617608199895,8.73950938311213741E-004,1.19034788573089558E-004,4.37246412227517135E-014
5.21282023244703553E-004,-2.17930144004138274E-005,2.55841364643941919E-004,453.68713936638756,-288.37896347852427,38.238360261580681,5.81089224730266967E-004,3.89558661196245785E-004,5.93978809743450452E-014
-3.09669490498270519E-003,-4.34765817882856037E-003,-2.00530489859774197E-004,1343.5467560688874,-682.20755368724338,-200.09258406062216,5.34152257805245272E-003,3.88305203169607308E-004,6.54009340668690244E-017
-3.74405453912662455E-003,-5.49213369411174069E-004,9.58409052852657680E-005,34.262204816229797,-1741.8105583240690,61.693254154599344,3.78533554605408207E-003,2.74850466308371676E-004,5.43485341656413183E-016
3.35956204587777290E-003,-9.86547040224794360E-004,3.08922575505151707E-005,1013.9165501789913,1190.2736427640959,701.45172214374202,3.50155487380325332E-003,5.71262965662005877E-005,5.85386090796126853E-015
3.38451396203812670E-003,-1.07294735809303362E-003,-1.92238425601638423E-005,1107.3242027430447,1203.3483988340654,707.83513025413822,3.55056620112801377E-003,1.24559371666238609E-004,1.48106726038165280E-015
3.98627479134632770E-004,2.14558031006021124E-003,2.80878366908570831E-004,-1289.9334827026646,454.32680381680996,-406.48166416054340,2.20029802323151898E-003,3.91636942154472822E-004,3.64099824180407847E-015
-3.14373770196116949E-003,9.67044077550224725E-004,1.12054448489147318E-004,-834.55787279443746,-780.24709234448449,-29.145900231613972,3.29102069061913780E-003,3.16617471865843702E-004,4.05934709439726108E-015
2.67733272951056430E-004,2.10302201270813009E-003,-2.36294605940719541E-004,-850.37187782843046,123.66244728686932,-467.15678601961929,2.13312396080882248E-003,3.69618400167183946E-004,2.22099750890505402E-015
8.76025593086067131E-004,-3.42146610109766284E-005,2.88750842688222206E-004,851.39460314360849,789.09406999964312,-230.13114277008262,9.23021414661138974E-004,3.21098295679023957E-005,5.24031333587372548E-014
-3.16282515785513713E-003,1.11417407055544831E-003,7.81627268511837753E-005,-931.57680220572718,-756.76467805725963,-25.752271436595080,3.35424451263295403E-003,3.24962347728385403E-004,3.22393891672059900E-015
1.06949779471014793E-003,9.78904653117632952E-004,2.24910923129319798E-004,-1348.2273956528104,571.28100286615688,566.21749856068959,1.46719622959170181E-003,2.57449416787419445E-004,3.87348358196882024E-015
1.83832127667883692E-003,-3.05131542622236705E-003,-3.56432461243426271E-004,1412.8819677223564,-125.43369104507340,178.36072886772604,3.58008310602152659E-003,6.98504414162189020E-005,3.00062873484590296E-015
-6.22245901357233212E-004,3.67835893329383160E-003,-2.44779430065733604E-004,-1796.9116656858196,-208.79032433221988,10.723824870765574,3.73864031076562861E-003,1.20605154589950610E-004,1.43889121035957081E-016
-2.03979563841287905E-003,2.29422177121936608E-003,5.97488884725247567E-005,-992.20793714274316,113.68477617533165,-154.58478643920137,3.07047060101523070E-003,3.28187708193183967E-004,3.42166435909920004E-014
1.28512301340679910E-003,-3.93954753030578350E-003,3.71023115641077553E-004,1599.1351525032530,213.73080106216329,174.73263858904667,4.16043676258469070E-003,1.28477135791225835E-004,3.87911919867319094E-016
3.31156402874578952E-003,-1.39188960364529531E-003,2.34834078025979431E-005,1267.1195521028508,854.04242446178785,-133.08442157539267,3.59226453030131454E-003,1.76052640133930673E-004,1.23325561626472343E-014
6.00547192807926737E-004,2.25122332059523098E-004,3.92860306740690061E-004,214.85082686008181,-182.92077532385423,275.06616570947364,7.52114496465656796E-004,1.23604958789139911E-004,7.43076507340725160E-014
1.92672144293975470E-003,-3.61892306483032472E-003,-2.64875289552674021E-004,1503.5738648139893,-18.853320409585578,-409.79889106998030,4.10840827898839318E-003,1.28613471032785012E-004,1.63317434791389784E-015
-8.71302476855561237E-004,-2.55656474407043406E-003,1.48876159719779817E-004,853.60688528586002,-788.45708306368783,14.130616379618695,2.70506107282838778E-003,9.14586002281018989E-005,6.45705438553079874E-015
2.35210390844802983E-003,3.94820800880854952E-004,-2.56893693373520067E-004,-257.50443609760049,808.93594431778388,317.44505977725379,2.39880608441778512E-003,1.41372951075377925E-005,1.41201098502522409E-015
3.13031666436647781E-003,-1.17388687926857794E-003,-3.73478492824582038E-004,729.31733829941243,679.88643274991171,-327.78647629371966,3.36398261130046788E-003,2.59756788536547186E-004,5.99810078884179209E-015
8.84961415231128642E-004,-8.63209042739408131E-004,3.84956951685633828E-004,1228.3816790273961,825.82626113726417,-268.83311467054858,1.29478894518221099E-003,3.15595234220527918E-005,1.75105300311214638E-015
3.86377871492286180E-003,-6.35922222818956890E-004,3.66549524990548406E-004,139.55650888157135,1849.8132158193871,-12.161831993921968,3.93287955391933685E-003,3.42052991142394094E-004,8.64542282512304875E-016
-2.09618956944372355E-003,-5.35829649372933175E-004,1.77040915967588235E-004,517.14489959843672,-625.08041482742237,-363.84912685880755,2.17082187434124293E-003,3.60461656767407566E-004,7.07469547509042672E-015
1.06671525655032740E-003,2.67574126121349824E-004,1.79072693582239679E-005,-198.57100892974606,1153.7999080602829,653.01379420061289,1.09990818790601922E-003,1.78409353138728850E-004,3.63178160559218057E-014
2.00153071951789720E-004,6.48679974723224430E-004,3.55744949906968040E-004,-964.24874685117607,-750.60821913100267,-331.94486135520987,7.66421183947164019E-004,1.94482295576201778E-004,8.84558510900842346E-015
-2.13467723032323420E-003,-6.04201402075849677E-004,-2.74400987313732474E-005,406.11230662744339,-883.72316528153283,-113.84179309544636,2.21870664373397582E-003,9.51760819847670230E-005,9.34241134224776532E-015
2.49701757758900985E-003,-2.60332265922797465E-003,-1.39194937585568600E-004,1188.8349590602431,16.296127058324842,-101.17226387335994,3.60995303037141323E-003,7.06328739667611954E-005,1.98560993701653668E-015
1.81269869700139341E-003,6.43592046700760460E-004,-6.19587794876464050E-005,-663.27427883681366,875.63386358129560,182.77053189142498,1.92455869721934480E-003,3.39411852050773205E-005,5.70312837050304195E-016
-2.03541222672592005E-003,-1.96218957254473345E-003,1.52641806998357398E-004,830.57983295372719,-1061.7814232524945,297.78700889398704,2.83132307809482895E-003,1.55965663932305525E-004,1.59558833002970738E-015
-5.88261555151629607E-004,1.19402054823867089E-003,-3.12595609303655210E-006,-714.48030758400978,-260.99878420915923,276.44432410757929,1.33106968205540829E-003,1.85296248421095837E-006,6.45884113082058617E-015
1.71256711036530535E-003,-2.50599512282475125E-003,3.37926289214128886E-004,1352.9885842902906,-223.05897450325338,131.41535703566322,3.05402878834965192E-003,1.65524848179863566E-004,6.58004409945843257E-016
